dataset,corruption,fold,val_score,test_score
469,ftt,3,0.10919698009608785,0.21624055491016217
469,ftt,4,0.0723990322269664,0.1800964085080256
469,ftt,5,0.16125432733717618,0.19759213077820248
469,ftt,6,0.18170645530939647,0.19902795623603647
469,ftt,7,0.09542783829074153,0.1786861941250239
469,ftt,8,0.17700502909321844,0.15289962775634686
469,ftt,9,0.10788826332304594,0.1809572750046888
469,ftt,10,0.17889677610174504,0.18715201376638502
469,ftt,11,0.2372143752098995,0.19057293364314204
469,ftt,12,0.22626354375847274,0.17606106298216898
469,ftt,13,0.2526891368435486,0.2439273118914965
469,ftt,14,0.150120320855615,0.1467359415993482
469,ftt,15,0.18810887096774193,0.19492822104314056
469,ftt,16,0.1842436974789916,0.18677384995865742
469,ftt,17,0.24142353892353893,0.20353034556992258
469,ftt,18,0.29795437508518463,0.21140239477503625
469,ftt,19,0.12893997893997894,0.1500278736403584
469,ftt,20,0.22585795454545457,0.16480924105029238
469,ftt,21,0.1877667984189723,0.15132984434702762
469,ftt,22,0.1665531914893617,0.20343288177339902
469,ftt,23,0.14132087461839737,0.14863269307402857
469,ftt,24,0.2760057471264368,0.2125641086168316
469,ftt,25,0.17942637261976707,0.1595492305090261
469,ftt,26,0.17144138861715794,0.16391243756642973
469,ftt,27,0.18567491001973763,0.19764760879337656
469,ftt,28,0.1827938333228028,0.19671914170734922
469,ftt,29,0.2051930221757808,0.2130268044747626
1049,ftt,0,0.8899589091887994,0.8960069518466857
1049,ftt,1,0.8956185297500784,0.9227336044325344
1049,ftt,2,0.8767738956441434,0.8876125155382317
1049,ftt,3,0.8988540569020023,0.9029262832471617
1049,ftt,4,0.9062554996054476,0.9074272635916473
1049,ftt,5,0.9390683189232747,0.9080770983567005
1049,ftt,6,0.9006026730862943,0.9186746904569915
1049,ftt,7,0.9081430745814306,0.9287902027628057
1049,ftt,8,0.9193032000717861,0.9186746904569915
1049,ftt,9,0.9133034773445734,0.9016609510959528
