,dataset,corruption,fold,val_score,test_score,Unnamed: 0
60,40994,ftt,0,1.0,0.9548045240003562,0.0
61,40994,ftt,1,0.8633585041352032,0.946938775510204,1.0
62,40994,ftt,2,0.9587037037037036,0.9524583702827863,2.0
63,40994,ftt,3,0.9313271604938272,0.9548045240003562,3.0
64,40994,ftt,4,0.980546202768425,0.9186481432006413,4.0
65,40994,ftt,5,0.902731013842125,0.9494195688225538,5.0
66,40994,ftt,6,1.0,0.9074074074074074,6.0
67,40994,ftt,7,0.941638608305275,0.94537072123279,7.0
68,40994,ftt,8,1.0,0.931372549019608,8.0
69,40994,ftt,9,0.980546202768425,0.9548045240003562,9.0
70,40994,ftt,10,0.982227776042209,0.9629629629629628,10.0
71,40994,ftt,11,1.0,0.8576631373432455,11.0
72,40994,ftt,12,0.9629629629629628,0.9186481432006413,12.0
73,40994,ftt,13,0.9629629629629628,0.937057991513437,13.0
74,40994,ftt,14,0.9333647650479332,0.9291873963515752,14.0
75,40994,ftt,15,0.9499775078722448,0.9608333333333332,15.0
76,40994,ftt,16,0.941638608305275,0.9186481432006413,16.0
77,40994,ftt,17,0.9026870007262164,0.9367263336004988,17.0
78,40994,ftt,18,0.9587037037037036,0.8915742793791575,18.0
79,40994,ftt,19,0.982227776042209,0.9235190097259064,19.0
80,40994,ftt,20,0.941638608305275,0.916077322017916,20.0
81,40994,ftt,21,0.980546202768425,0.9608333333333332,21.0
82,40994,ftt,22,1.0,0.9186481432006413,22.0
83,40994,ftt,23,0.982227776042209,0.94125,23.0
84,40994,ftt,24,0.925925925925926,0.9444444444444444,24.0
85,40994,ftt,25,0.9629629629629628,0.9524583702827863,25.0
86,40994,ftt,26,1.0,0.9629629629629628,26.0
87,40994,ftt,27,0.9587037037037036,0.9186481432006413,27.0
88,40994,ftt,28,0.980546202768425,0.94537072123279,28.0
89,40994,ftt,29,0.9629629629629628,0.9144250665090156,29.0
90,1480,ftt,0,0.8305084745762712,0.7117811727567825,30.0
91,1480,ftt,1,0.6116181370418659,0.6445961664896577,31.0
92,1480,ftt,2,0.6718027734976887,0.6888237688237688,32.0
93,1480,ftt,3,0.6867411948551508,0.6792697112223739,33.0
94,1480,ftt,4,0.6236041040757327,0.6525312294543063,34.0
95,1480,ftt,5,0.6475838442120447,0.6619329388560157,35.0
96,1480,ftt,6,0.7668555743076853,0.6802258098554395,36.0
97,1480,ftt,7,0.685595634748177,0.7166883225512235,37.0
98,1480,ftt,8,0.6359967715899918,0.7106877796532969,38.0
99,1480,ftt,9,0.6307781201849,0.6410256410256411,39.0
100,1480,ftt,10,0.772798401236779,0.6994975487392973,40.0
101,1480,ftt,11,0.659643951440872,0.6318561288052814,41.0
102,1480,ftt,12,0.6723970944309926,0.7510291319389542,42.0
103,1480,ftt,13,0.7522855675398047,0.6630730091925454,43.0
104,1480,ftt,14,0.5752439650744735,0.7108797635113424,44.0
105,1480,ftt,15,0.6084264935689386,0.7338587272450888,45.0
106,1480,ftt,16,0.5920456452424904,0.723979723979724,46.0
107,1480,ftt,17,0.7123018042646255,0.5999842347668435,47.0
108,1480,ftt,18,0.6592504547573861,0.6068376068376068,48.0
109,1480,ftt,19,0.6951188279408191,0.6431869535317812,49.0
110,1480,ftt,20,0.5837288135593218,0.6896802489417141,50.0
111,1480,ftt,21,0.7309872011242523,0.6680720245937639,51.0
112,1480,ftt,22,0.7225843836013328,0.6875316183187954,52.0
113,1480,ftt,23,0.6116181370418659,0.7211664152840623,53.0
114,1480,ftt,24,0.6723970944309926,0.672906208343969,54.0
115,1480,ftt,25,0.702890217001942,0.6970560303893637,55.0
116,1480,ftt,26,0.6884183541553205,0.6448607394191695,56.0
117,1480,ftt,27,0.5995964487489912,0.6299170946582799,57.0
118,1480,ftt,28,0.6084264935689386,0.7252006761151081,58.0
119,1480,ftt,29,0.6419876355224948,0.5986832986832987,59.0
120,3,ftt,0,1.0,0.998437389146172,60.0
121,3,ftt,1,1.0,0.9968745412282848,61.0
122,3,ftt,2,0.99374804197995,0.9968753973843552,62.0
123,3,ftt,3,1.0,0.996875,63.0
124,3,ftt,4,1.0,0.9968753973843552,64.0
125,3,ftt,5,0.9968745412282848,0.9937507947687102,65.0
126,3,ftt,6,0.99374804197995,0.9984376031804651,66.0
127,3,ftt,7,0.9968753973843552,0.9953128095413956,67.0
128,3,ftt,8,1.0,0.996875,68.0
129,3,ftt,9,0.99374804197995,0.996875,69.0
130,3,ftt,10,1.0,1.0,70.0
131,3,ftt,11,0.99375,0.9968753973843552,71.0
132,3,ftt,12,1.0,0.9953133596185586,72.0
133,3,ftt,13,0.9906236236848543,0.996875,73.0
134,3,ftt,14,1.0,0.9968745412282848,74.0
135,3,ftt,15,0.9875,0.9968745412282848,75.0
136,3,ftt,16,1.0,0.996875,76.0
137,3,ftt,17,1.0,0.9953121674385152,77.0
138,3,ftt,18,0.9843769869217752,0.9984376031804651,78.0
139,3,ftt,19,0.99374804197995,0.9921857219942296,79.0
140,3,ftt,20,1.0,0.9890617240232018,80.0
141,3,ftt,21,0.9968745412282848,0.9953121674385152,81.0
142,3,ftt,22,0.99375,0.9890645057766368,82.0
143,3,ftt,23,1.0,1.0,83.0
144,3,ftt,24,0.9968745412282848,0.9984376031804651,84.0
145,3,ftt,25,0.9937514669065872,1.0,85.0
146,3,ftt,26,0.9968753973843552,0.998437389146172,86.0
147,3,ftt,27,1.0,0.9968745412282848,87.0
148,3,ftt,28,1.0,0.99375,88.0
149,3,ftt,29,1.0,0.9953121674385152,89.0
150,54,ftt,0,0.6991592891337136,0.7477776888027291,0.0
151,54,ftt,1,0.8117647058823529,0.83417532980182,1.0
152,54,ftt,2,0.8115800829690925,0.7693329073305218,2.0
153,54,ftt,3,0.8403787661406026,0.7683791065237882,3.0
154,54,ftt,4,0.8204533630620587,0.7883307481207493,4.0
155,54,ftt,5,0.8335724533715925,0.7465041305554173,5.0
156,54,ftt,6,0.7729794356767097,0.766089338805895,6.0
157,54,ftt,7,0.8521441513228417,0.8158738535335163,7.0
158,54,ftt,8,0.7714924129371139,0.7889296073004746,8.0
159,54,ftt,9,0.7859133126934985,0.7856901324282228,9.0
160,54,ftt,10,0.7755678789734517,0.7861916304669563,10.0
161,54,ftt,11,0.7844444444444444,0.7445977407520007,11.0
162,54,ftt,12,0.7409218232747644,0.7782909395098279,12.0
163,54,ftt,13,0.7621201658958155,0.7897991007277616,13.0
164,54,ftt,14,0.8352941176470589,0.7995750113096707,14.0
165,54,ftt,15,0.7504988155216709,0.7566057173928102,15.0
166,54,ftt,16,0.8691762138570649,0.767037899540343,16.0
167,54,ftt,17,0.7366587701444731,0.7609105167121315,17.0
168,54,ftt,18,0.8588235294117647,0.7708083262601136,18.0
169,54,ftt,19,0.7403730272596843,0.7764978875225556,19.0
170,54,ftt,20,0.7429757785467127,0.6728547299069441,20.0
171,54,ftt,21,0.7983012372986797,0.7833234440179868,21.0
172,54,ftt,22,0.8823529411764706,0.7672843496372909,22.0
173,54,ftt,23,0.798000606935911,0.7764705882352941,23.0
174,54,ftt,24,0.8216081471348228,0.7530913335698822,24.0
175,54,ftt,25,0.7786305709554324,0.7234248366013072,25.0
176,54,ftt,26,0.8480612088931496,0.7443009859789681,26.0
177,54,ftt,27,0.8344427244582043,0.7786183462962782,27.0
178,54,ftt,28,0.7856495776605215,0.794726492524939,28.0
179,54,ftt,29,0.771976081212627,0.7889929037430445,29.0
180,50,ftt,0,1.0,0.994782461632168,30.0
181,50,ftt,1,1.0,0.994782461632168,31.0
182,50,ftt,2,1.0,0.994782461632168,32.0
183,50,ftt,3,1.0,1.0,33.0
184,50,ftt,4,1.0,1.0,34.0
185,50,ftt,5,1.0,1.0,35.0
186,50,ftt,6,1.0,0.994782461632168,36.0
187,50,ftt,7,1.0,1.0,37.0
188,50,ftt,8,1.0,1.0,38.0
189,50,ftt,9,1.0,1.0,39.0
190,50,ftt,10,1.0,0.9842887261261803,40.0
191,50,ftt,11,1.0,0.9895457551707552,41.0
192,50,ftt,12,1.0,1.0,42.0
193,50,ftt,13,1.0,1.0,43.0
194,50,ftt,14,1.0,0.9791666666666666,44.0
195,50,ftt,15,1.0,1.0,45.0
196,50,ftt,16,1.0,0.994782461632168,46.0
197,50,ftt,17,1.0,1.0,47.0
198,50,ftt,18,1.0,1.0,48.0
199,50,ftt,19,1.0,1.0,49.0
200,50,ftt,20,1.0,1.0,50.0
201,50,ftt,21,0.9895442156268928,0.9895457551707552,51.0
202,50,ftt,22,1.0,1.0,52.0
203,50,ftt,23,1.0,0.9790915103415104,53.0
204,50,ftt,24,1.0,1.0,54.0
205,50,ftt,25,1.0,0.9842887261261803,55.0
206,50,ftt,26,1.0,0.9895457551707552,56.0
207,50,ftt,27,1.0,1.0,57.0
208,50,ftt,28,1.0,0.994782461632168,58.0
209,50,ftt,29,1.0,1.0,59.0
210,31,ftt,0,0.7525611569130963,0.7241071428571427,0.0
211,31,ftt,1,0.7143308330043426,0.7541360294117646,1.0
212,31,ftt,2,0.7394429469901168,0.7330071577421401,2.0
213,31,ftt,3,0.735491512041058,0.7214340198321892,3.0
214,31,ftt,4,0.7611842105263159,0.6914258756928884,4.0
215,31,ftt,5,0.682213878459185,0.7198359594215411,5.0
216,31,ftt,6,0.68,0.7223824451410656,6.0
217,31,ftt,7,0.7171442447790188,0.7026647966339412,7.0
218,31,ftt,8,0.6850311850311849,0.7011746758199847,8.0
219,31,ftt,9,0.748024948024948,0.7156669332622413,9.0
220,31,ftt,10,0.7423094904160823,0.7163214477127273,10.0
221,31,ftt,11,0.7041301627033792,0.7042854152337091,11.0
222,31,ftt,12,0.664033264033264,0.707000088051422,12.0
223,31,ftt,13,0.8,0.6969402622632346,13.0
224,31,ftt,14,0.804639498432602,0.6994603928340168,14.0
225,31,ftt,15,0.7394736842105263,0.6809153318077804,15.0
226,31,ftt,16,0.7566521910777735,0.7300237427153032,16.0
227,31,ftt,17,0.7226666666666667,0.7200000000000002,17.0
228,31,ftt,18,0.7343253968253967,0.7137295794230102,18.0
229,31,ftt,19,0.7343253968253967,0.7586109428629113,19.0
230,31,ftt,20,0.6455043697230038,0.7326645768025078,20.0
231,31,ftt,21,0.7575522098105876,0.7547619047619049,21.0
232,31,ftt,22,0.7308980213089802,0.6994603928340168,22.0
233,31,ftt,23,0.6730158730158731,0.7198359594215411,23.0
234,31,ftt,24,0.76635995583364,0.7202093881403931,24.0
235,31,ftt,25,0.7575522098105876,0.6587636363636363,25.0
236,31,ftt,26,0.60909681611436,0.6842369688088757,26.0
237,31,ftt,27,0.7177631578947369,0.7394429469901168,27.0
238,31,ftt,28,0.7929984779299849,0.7286184210526315,28.0
239,31,ftt,29,0.7532151546750088,0.6809153318077804,29.0
240,1462,ftt,0,1.0,1.0,30.0
241,1462,ftt,1,1.0,1.0,31.0
242,1462,ftt,2,1.0,1.0,32.0
243,1462,ftt,3,1.0,1.0,33.0
244,1462,ftt,4,1.0,1.0,34.0
245,1462,ftt,5,1.0,1.0,35.0
246,1462,ftt,6,1.0,1.0,36.0
247,1462,ftt,7,1.0,1.0,37.0
248,1462,ftt,8,1.0,1.0,38.0
249,1462,ftt,9,1.0,1.0,39.0
250,1462,ftt,10,1.0,1.0,40.0
251,1462,ftt,11,1.0,1.0,41.0
252,1462,ftt,12,1.0,1.0,42.0
253,1462,ftt,13,1.0,1.0,43.0
254,1462,ftt,14,1.0,1.0,44.0
255,1462,ftt,15,1.0,1.0,45.0
256,1462,ftt,16,1.0,1.0,46.0
257,1462,ftt,17,1.0,1.0,47.0
258,1462,ftt,18,1.0,1.0,48.0
259,1462,ftt,19,1.0,1.0,49.0
260,1462,ftt,20,1.0,1.0,50.0
261,1462,ftt,21,1.0,1.0,51.0
262,1462,ftt,22,1.0,0.9963650962620518,52.0
263,1462,ftt,23,1.0,0.9963650962620518,53.0
264,1462,ftt,24,1.0,1.0,54.0
265,1462,ftt,25,1.0,1.0,55.0
266,1462,ftt,26,1.0,1.0,56.0
267,1462,ftt,27,1.0,1.0,57.0
268,1462,ftt,28,1.0,1.0,58.0
269,1462,ftt,29,1.0,1.0,59.0
0,40994,ftt,0,1.0,0.9548045240003562,
1,40994,ftt,1,0.8633585041352032,0.946938775510204,
2,40994,ftt,2,0.9587037037037036,0.9524583702827863,
3,40994,ftt,3,0.9313271604938272,0.9548045240003562,
4,40994,ftt,4,0.980546202768425,0.9186481432006413,
5,40994,ftt,5,0.902731013842125,0.9494195688225538,
6,40994,ftt,6,1.0,0.9074074074074074,
7,40994,ftt,7,0.941638608305275,0.94537072123279,
8,40994,ftt,8,1.0,0.931372549019608,
9,40994,ftt,9,0.980546202768425,0.9548045240003562,
10,40994,ftt,10,0.982227776042209,0.9629629629629628,
11,40994,ftt,11,1.0,0.8576631373432455,
12,40994,ftt,12,0.9629629629629628,0.9186481432006413,
13,40994,ftt,13,0.9629629629629628,0.937057991513437,
14,40994,ftt,14,0.9333647650479332,0.9291873963515752,
15,40994,ftt,15,0.9499775078722448,0.9608333333333332,
16,40994,ftt,16,0.941638608305275,0.9186481432006413,
17,40994,ftt,17,0.9026870007262164,0.9367263336004988,
18,40994,ftt,18,0.9587037037037036,0.8915742793791575,
19,40994,ftt,19,0.982227776042209,0.9235190097259064,
20,40994,ftt,20,0.941638608305275,0.916077322017916,
21,40994,ftt,21,0.980546202768425,0.9608333333333332,
22,40994,ftt,22,1.0,0.9186481432006413,
23,40994,ftt,23,0.982227776042209,0.94125,
24,40994,ftt,24,0.925925925925926,0.9444444444444444,
25,40994,ftt,25,0.9629629629629628,0.9524583702827863,
26,40994,ftt,26,1.0,0.9629629629629628,
27,40994,ftt,27,0.9587037037037036,0.9186481432006413,
28,40994,ftt,28,0.980546202768425,0.94537072123279,
29,40994,ftt,29,0.9629629629629628,0.9144250665090156,
30,1480,ftt,0,0.8305084745762712,0.7117811727567825,
31,1480,ftt,1,0.6116181370418659,0.6445961664896577,
32,1480,ftt,2,0.6718027734976887,0.6888237688237688,
33,1480,ftt,3,0.6867411948551508,0.6792697112223739,
34,1480,ftt,4,0.6236041040757327,0.6525312294543063,
35,1480,ftt,5,0.6475838442120447,0.6619329388560157,
36,1480,ftt,6,0.7668555743076853,0.6802258098554395,
37,1480,ftt,7,0.685595634748177,0.7166883225512235,
38,1480,ftt,8,0.6359967715899918,0.7106877796532969,
39,1480,ftt,9,0.6307781201849,0.6410256410256411,
40,1480,ftt,10,0.772798401236779,0.6994975487392973,
41,1480,ftt,11,0.659643951440872,0.6318561288052814,
42,1480,ftt,12,0.6723970944309926,0.7510291319389542,
43,1480,ftt,13,0.7522855675398047,0.6630730091925454,
44,1480,ftt,14,0.5752439650744735,0.7108797635113424,
45,1480,ftt,15,0.6084264935689386,0.7338587272450888,
46,1480,ftt,16,0.5920456452424904,0.723979723979724,
