,dataset,corruption,loss,patience,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
0,blood-transfusion-service-center,draw-feature,loss=scarf,9999,0,0.7117669172932332,0,0,0,0,0.008058464717864991
1,blood-transfusion-service-center,draw-feature,loss=scarf,9999,1,0.7563333333333333,0,0,0,0,0.008002649450302124
2,blood-transfusion-service-center,draw-feature,loss=scarf,9999,2,0.7431665583712367,0,0,0,0,0.008016260480880737
3,blood-transfusion-service-center,draw-feature,loss=scarf,9999,3,0.7585864606344487,0,0,0,0,0.008039152479171753
4,blood-transfusion-service-center,draw-feature,loss=scarf,9999,4,0.734243703978346,0,0,0,0,0.00803693127632141
