,id,corruption,fold,test_score
11,469,lgbm,11,0.19303513449783244
12,469,lgbm,12,0.1547155477370981
13,469,lgbm,13,0.23085720758107175
14,469,lgbm,14,0.17677609439305025
15,469,lgbm,15,0.2172182283324869
16,469,lgbm,16,0.19683213218256518
17,469,lgbm,17,0.18923752176064385
18,469,lgbm,18,0.2116723664832935
19,469,lgbm,19,0.19341193170887822
20,469,lgbm,20,0.12858566927422857
21,469,lgbm,21,0.16757197899180468
22,469,lgbm,22,0.21128600694970662
23,469,lgbm,23,0.17946425635866275
24,469,lgbm,24,0.1898466569825847
25,469,lgbm,25,0.17726375948426376
26,469,lgbm,26,0.2309503774092636
27,469,lgbm,27,0.20872109653951104
28,469,lgbm,28,0.23720208974000562
29,469,lgbm,29,0.15685728974638288
0,1050,lgbm,0,0.864970124773617
1,1050,lgbm,1,0.8691862303590705
2,1050,lgbm,2,0.8610103697565126
3,1050,lgbm,3,0.8570271909367713
4,1050,lgbm,4,0.8534767287495917
5,1050,lgbm,5,0.862356927007192
6,1050,lgbm,6,0.8570271909367713
7,1050,lgbm,7,0.855866169684061
8,1050,lgbm,8,0.8478037164146136
9,1050,lgbm,9,0.8585170165582084
10,1050,lgbm,10,0.8768513503537327
11,1050,lgbm,11,0.8713234468060818
12,1050,lgbm,12,0.8590126550073561
13,1050,lgbm,13,0.8610103697565126
14,1050,lgbm,14,0.8650482893678743
15,1050,lgbm,15,0.8610103697565126
16,1050,lgbm,16,0.8517078512421556
17,1050,lgbm,17,0.8493992104215747
18,1050,lgbm,18,0.8517078512421556
19,1050,lgbm,19,0.8590126550073561
20,1050,lgbm,20,0.8776481650564932
21,1050,lgbm,21,0.8590126550073561
22,1050,lgbm,22,0.8770491081538856
23,1050,lgbm,23,0.8798016690078672
24,1050,lgbm,24,0.8670917428274079
25,1050,lgbm,25,0.8481793255388584
26,1050,lgbm,26,0.8552497244472438
27,1050,lgbm,27,0.8534767287495917
28,1050,lgbm,28,0.8628876951371404
29,1050,lgbm,29,0.8537954890248918
0,1063,lgbm,0,0.7851273238556475
1,1063,lgbm,1,0.8417927170868349
2,1063,lgbm,2,0.8180276272075537
3,1063,lgbm,3,0.8549169859514687
4,1063,lgbm,4,0.8022070626003209
5,1063,lgbm,5,0.8022070626003209
6,1063,lgbm,6,0.8417927170868349
7,1063,lgbm,7,0.8134646962233169
8,1063,lgbm,8,0.8394035594035595
9,1063,lgbm,9,0.8341908410873929
10,1063,lgbm,10,0.8500739027054817
11,1063,lgbm,11,0.8615686274509803
12,1063,lgbm,12,0.8140334962098567
13,1063,lgbm,13,0.8055913882503477
14,1063,lgbm,14,0.7582530765115033
15,1063,lgbm,15,0.8255102040816326
16,1063,lgbm,16,0.763474620617478
17,1063,lgbm,17,0.8844625850340136
18,1063,lgbm,18,0.8016161616161617
19,1063,lgbm,19,0.8669835814344484
20,1063,lgbm,20,0.7901034637876745
21,1063,lgbm,21,0.8786850848050358
22,1063,lgbm,22,0.8082314744079451
23,1063,lgbm,23,0.7901034637876745
24,1063,lgbm,24,0.8336089176614505
25,1063,lgbm,25,0.7429131652661065
26,1063,lgbm,26,0.8061224489795918
27,1063,lgbm,27,0.8300837563995458
28,1063,lgbm,28,0.8082314744079451
29,1063,lgbm,29,0.8055913882503477
0,1067,lgbm,0,0.8278400114893006
1,1067,lgbm,1,0.8197212390265364
2,1067,lgbm,2,0.8260799279454399
3,1067,lgbm,3,0.841387246806022
4,1067,lgbm,4,0.8221013452056107
5,1067,lgbm,5,0.8273255090020948
6,1067,lgbm,6,0.8469526065672142
7,1067,lgbm,7,0.8214710291311824
8,1067,lgbm,8,0.841161452993538
9,1067,lgbm,9,0.8172988751499601
10,1067,lgbm,10,0.8233153895147419
11,1067,lgbm,11,0.8243288733564923
12,1067,lgbm,12,0.8249220984178977
13,1067,lgbm,13,0.7980586461210939
14,1067,lgbm,14,0.8372031953079492
15,1067,lgbm,15,0.8180576643380526
16,1067,lgbm,16,0.8103492422375853
17,1067,lgbm,17,0.8320489409928495
18,1067,lgbm,18,0.8007298228464386
19,1067,lgbm,19,0.833178881578295
20,1067,lgbm,20,0.8394955696141677
21,1067,lgbm,21,0.8317822253898518
22,1067,lgbm,22,0.8097653912734943
23,1067,lgbm,23,0.8349796291677061
24,1067,lgbm,24,0.8196778690560298
25,1067,lgbm,25,0.8079950882388686
26,1067,lgbm,26,0.8354635763712971
27,1067,lgbm,27,0.8186620628196049
28,1067,lgbm,28,0.8249220984178977
29,1067,lgbm,29,0.8356624944302669
0,1068,lgbm,0,0.9295161422820998
1,1068,lgbm,1,0.9199428109746336
2,1068,lgbm,2,0.9289217274828786
3,1068,lgbm,3,0.9168041280717336
4,1068,lgbm,4,0.9383988304851614
5,1068,lgbm,5,0.9186724718639611
6,1068,lgbm,6,0.9286892526329146
7,1068,lgbm,7,0.9403598127002383
8,1068,lgbm,8,0.9186724718639611
9,1068,lgbm,9,0.9471919140165586
10,1068,lgbm,10,0.9403598127002383
