,dataset,corruption,npairs,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
57,1049,scarf,128,27,0.8813268761535965,0,0,0,0,0.005050301551818848
58,1049,scarf,128,28,0.9118440044663525,0,0,0,0,0.006728529930114746
59,1049,scarf,128,29,0.8899589091887994,0,0,0,0,0.006035852432250977
60,1067,scarf,128,0,0.8394955696141677,0,0,0,0,0.007375665505727132
61,1067,scarf,128,1,0.8335786777729907,0,0,0,0,0.00689125657081604
62,1067,scarf,128,2,0.8356624944302669,0,0,0,0,0.007076053707687943
63,1067,scarf,128,3,0.8432032599548211,0,0,0,0,0.006296928723653158
64,1067,scarf,128,4,0.8255748521156601,0,0,0,0,0.007315089305241902
65,1067,scarf,128,5,0.8264090339713105,0,0,0,0,0.007900677786933052
66,1067,scarf,128,6,0.837647309626421,0,0,0,0,0.008744429658960414
67,1067,scarf,128,7,0.8413444276892145,0,0,0,0,0.008299722557976133
68,1067,scarf,128,8,0.8308569425393248,0,0,0,0,0.008179285460048251
69,1067,scarf,128,9,0.8358735458853942,0,0,0,0,0.008078657918506198
70,1067,scarf,128,10,0.8266457819099888,0,0,0,0,0.0074980815251668295
71,1067,scarf,128,11,0.8241064117515696,0,0,0,0,0.007843290766080221
72,1067,scarf,128,12,0.8349796291677061,0,0,0,0,0.007045276654072297
73,1067,scarf,128,13,0.8186620628196049,0,0,0,0,0.006662918461693658
74,1067,scarf,128,14,0.8358261195883258,0,0,0,0,0.007203797499338786
75,1067,scarf,128,15,0.8197606805195152,0,0,0,0,0.006687561670939128
76,1067,scarf,128,16,0.8278952129371677,0,0,0,0,0.007442363670894078
77,1067,scarf,128,17,0.8221013452056107,0,0,0,0,0.007276852925618489
78,1067,scarf,128,18,0.8214721364258947,0,0,0,0,0.007125534613927205
79,1067,scarf,128,19,0.8395393768276697,0,0,0,0,0.007026607082003639
80,1067,scarf,128,20,0.859632325197436,0,0,0,0,0.007370528720674061
81,1067,scarf,128,21,0.830009930856057,0,0,0,0,0.008148378796047635
82,1067,scarf,128,22,0.8282186083020658,0,0,0,0,0.008285040656725565
83,1067,scarf,128,23,0.828473126953716,0,0,0,0,0.0077101559866042365
84,1067,scarf,128,24,0.8108827716027329,0,0,0,0,0.007854650417963663
85,1067,scarf,128,25,0.8214710291311824,0,0,0,0,0.007349414957894219
86,1067,scarf,128,26,0.8321999799516508,0,0,0,0,0.006664276123046875
87,1067,scarf,128,27,0.8375190009544609,0,0,0,0,0.007273364950109411
88,1067,scarf,128,28,0.80435970454995,0,0,0,0,0.0070150548761541195
89,1067,scarf,128,29,0.8129952522827175,0,0,0,0,0.006908386945724487
90,1068,scarf,128,0,0.9137478035310853,0,0,0,0,0.008422353437968664
91,1068,scarf,128,1,0.8998298998298998,0,0,0,0,0.008540651300451257
92,1068,scarf,128,2,0.8998298998298998,0,0,0,0,0.00831439057174994
93,1068,scarf,128,3,0.8998298998298998,0,0,0,0,0.008320597239903041
94,1068,scarf,128,4,0.9219148393676696,0,0,0,0,0.008394438879830497
95,1068,scarf,128,5,0.9103782520838596,0,0,0,0,0.008336642431834388
96,1068,scarf,128,6,0.8998298998298998,0,0,0,0,0.008567449024745396
97,1068,scarf,128,7,0.9137478035310853,0,0,0,0,0.007854856763567243
98,1068,scarf,128,8,0.9076263203553462,0,0,0,0,0.007807635125659761
99,1068,scarf,128,9,0.9049190035105528,0,0,0,0,0.008429186684744698
100,1068,scarf,128,10,0.9168041280717336,0,0,0,0,0.008321747487905075
101,1068,scarf,128,11,0.9049190035105528,0,0,0,0,0.008382797241210938
102,1068,scarf,128,12,0.9219148393676696,0,0,0,0,0.008000620773860387
103,1068,scarf,128,13,0.9295161422820998,0,0,0,0,0.008658872331891741
104,1068,scarf,128,14,0.9137478035310853,0,0,0,0,0.008616024134110431
105,1068,scarf,128,15,0.9049190035105528,0,0,0,0,0.008081368037632533
106,1068,scarf,128,16,0.9078288014458227,0,0,0,0,0.008422660827636718
107,1068,scarf,128,17,0.8998298998298998,0,0,0,0,0.008496318544660295
108,1068,scarf,128,18,0.9137478035310853,0,0,0,0,0.008224253751793685
109,1068,scarf,128,19,0.9168041280717336,0,0,0,0,0.00813625075600364
110,1068,scarf,128,20,0.8996047934727179,0,0,0,0,0.008185836247035436
111,1068,scarf,128,21,0.9076263203553462,0,0,0,0,0.00851262345605967
112,1068,scarf,128,22,0.9219148393676696,0,0,0,0,0.00877252079191662
113,1068,scarf,128,23,0.9078288014458227,0,0,0,0,0.007910246751746354
114,1068,scarf,128,24,0.9103782520838596,0,0,0,0,0.00837812348017617
115,1068,scarf,128,25,0.9199428109746336,0,0,0,0,0.007733992167881557
116,1068,scarf,128,26,0.9162180724680725,0,0,0,0,0.008483182816278367
117,1068,scarf,128,27,0.9103782520838596,0,0,0,0,0.008395665032523019
118,1068,scarf,128,28,0.8998298998298998,0,0,0,0,0.008559303624289376
119,1068,scarf,128,29,0.8998298998298998,0,0,0,0,0.008841439655848911
