,dataset,corruption,npairs,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
14,23,scarf,8,14,0.557021977545624,0.5275946479043786,0.5146329899191314,0.5028747425504979,0.5087676131893284,0.00884252455499437
15,23,scarf,8,15,0.4730800585764967,0.49461952806339776,0.3954384087869838,0.48989950576500263,0.4431384977963288,0.008906237284342448
16,23,scarf,8,16,0.5755993701139572,0.5791380694489263,0.5096263267699149,0.4981505149827768,0.505202728274293,0.009069037815881155
17,23,scarf,8,17,0.5584811403914061,0.5415721754704805,0.4748946002086846,0.4605144039916801,0.44065143122491623,0.00880803002251519
18,23,scarf,8,18,0.6027956787102017,0.5722354741597238,0.5049093072651288,0.5292161725525765,0.4511028767050177,0.009016156196594238
19,23,scarf,8,19,0.5645727648195377,0.5469448564874482,0.5152979816905005,0.47860874345881044,0.4808107239425674,0.008872720930311415
20,23,scarf,8,20,0.5118461750458443,0.5007044398220488,0.42084087698730516,0.4734661512538408,0.4226991402035467,0.008533308241102431
21,23,scarf,8,21,0.5291161397756464,0.5497394942131156,0.5081829605597835,0.4662642988504115,0.4805289318963973,0.00886064436700609
22,23,scarf,8,22,0.5512768804629546,0.5587885448686025,0.41868322021989235,0.5022747851483846,0.46654545454545454,0.00887185467614068
23,23,scarf,8,23,0.5164830608528606,0.5025199307499947,0.47774749614791984,0.5056888309430682,0.4689166022038542,0.009243546591864691
24,23,scarf,8,24,0.5446940492829013,0.5327924266813455,0.4891258235728423,0.5095441381162737,0.4737741252912134,0.009166646207499707
25,23,scarf,8,25,0.5621291982191398,0.5617211168427086,0.5008070404172098,0.4985498984986078,0.46544853930846897,0.008935138914320203
26,23,scarf,8,26,0.49290292057938484,0.48551407348826925,0.4970635476490639,0.46334154910005343,0.4502479167612314,0.00925352543960383
27,23,scarf,8,27,0.4984377861416556,0.5073527632888442,0.4039325738820665,0.4549949193730278,0.40412156174665587,0.00860144297281901
28,23,scarf,8,28,0.5031767914724704,0.44610570329238836,0.46390065255244906,0.49036122642097474,0.4348714621685184,0.008686521318223742
29,23,scarf,8,29,0.5260941550416838,0.5560300106672987,0.47630520569554213,0.5204573316039335,0.4702010945946338,0.00909978813595242
30,23,scarf,16,0,0.5472806488262323,0.5317644289879058,0.4762105044240082,0.4879550484116852,0.43422631748700585,0.00884521449053729
31,23,scarf,16,1,0.5334112531101198,0.5376877624008708,0.45534238350185496,0.48126151355108543,0.4210487065120428,0.009059847725762262
32,23,scarf,16,2,0.4679139361857563,0.45268745093701857,0.4327949227850956,0.4450466967142275,0.4127593020127509,0.009073297182718912
33,23,scarf,16,3,0.5769683045648591,0.4868803329820279,0.3737225949303573,0.46571154898976314,0.42894669567941524,0.00911492771572537
34,23,scarf,16,4,0.5412647502047893,0.5081047765793529,0.40099224850411547,0.48583127554297434,0.4311107765356511,0.008838912587106965
35,23,scarf,16,5,0.5254922934690591,0.5494964658886183,0.4090684108162001,0.4784817671295609,0.4896604317290327,0.008787080093666359
36,23,scarf,16,6,0.5968744083436915,0.5660712741046005,0.44652678420872444,0.5031278479163795,0.45168779510459867,0.008823008007473416
37,23,scarf,16,7,0.5771374648517597,0.5438359869694186,0.45094714703883637,0.4851577493213808,0.45743670938296965,0.008688042561213175
38,23,scarf,16,8,0.5473034696415517,0.5143874575380766,0.47918566565561094,0.4953674963655175,0.4657122668541045,0.008601215150621202
39,23,scarf,16,9,0.5483486494012809,0.5837686589762989,0.4629348328181075,0.46118882478547135,0.4482026755923101,0.008955187267727323
40,23,scarf,16,10,0.5342772241997285,0.5366551147916135,0.4738250654421846,0.4780207592255043,0.45214481382482236,0.008721706602308485
41,23,scarf,16,11,0.5707894808844789,0.49582381886598276,0.4346667132438607,0.47434680573663623,0.4599878341497631,0.008540958828396268
42,23,scarf,16,12,0.5670620147575983,0.556395415866507,0.4623865345222307,0.4702682542912795,0.47403477163966357,0.008337034119500054
43,23,scarf,16,13,0.5393096130810153,0.49927999274744633,0.4442904785022267,0.49441997716387137,0.4673194088511019,0.00852378871705797
44,23,scarf,16,14,0.5474610608973959,0.542160187956598,0.47269051527795913,0.46643110667996013,0.4425111315718665,0.008765716401357499
45,23,scarf,16,15,0.47346767766418724,0.5056827073289185,0.4124710446703206,0.47217405627376363,0.4469965859107767,0.008848958545260958
46,23,scarf,16,16,0.5297345051867811,0.5997876409248374,0.46134296252845347,0.4947347640393073,0.4399820201974487,0.008153741321866475
47,23,scarf,16,17,0.5471478801231284,0.5372795028297616,0.521393490790318,0.47949498460039436,0.4739161613347904,0.008711920844184028
48,23,scarf,16,18,0.5909570414838814,0.5942579420914713,0.502307697360421,0.5010743281017768,0.48758517124706824,0.009249948792987399
49,23,scarf,16,19,0.5320103177412167,0.579641892718429,0.45804968835716187,0.4997892275143091,0.4628390549912233,0.008835587236616347
50,23,scarf,16,20,0.5581734748463564,0.4997265090476166,0.4364797327240457,0.4430808780900759,0.38370920608585807,0.00893228394644601
51,23,scarf,16,21,0.5300791181059028,0.5420208176783279,0.4522343513785191,0.4616122307457732,0.46475013245792746,0.00904910010520858
52,23,scarf,16,22,0.4890896845886182,0.5525872734135633,0.4183458782742681,0.4854724796478665,0.44507365398202525,0.008723309304979112
53,23,scarf,16,23,0.5330964132923791,0.5353035102628997,0.4254306084305069,0.42436447065195726,0.4650277157304855,0.008808437575641861
54,23,scarf,16,24,0.5163954564876798,0.4905988580677067,0.4370840512231107,0.4917438247869821,0.424232607265589,0.008502051943824404
55,23,scarf,16,25,0.563707412892254,0.532607777752225,0.4513375872285568,0.5377835723598435,0.4731432477760791,0.009075291951497396
56,23,scarf,16,26,0.48811864528192156,0.5216270097641789,0.4549618719298755,0.440339724218321,0.4985855948632907,0.00901137457953559
57,23,scarf,16,27,0.49851334776631734,0.47822138482037124,0.4689283008118502,0.44950801973930277,0.39336730460585045,0.008433013492160373
58,23,scarf,16,28,0.5412642600316998,0.45451505564542016,0.41190470640623933,0.46851006885705937,0.4936611553328398,0.009178275532192654
59,23,scarf,16,29,0.4939584289838726,0.522629106435287,0.44867446620554247,0.4876122336831119,0.42160944078277657,0.008897208505206637
60,23,scarf,32,0,0.5545421577969353,0.48423930607083043,0.4395128194409952,0.512984101803635,0.42616304931359766,0.008969510043108905
61,23,scarf,32,1,0.4969621816262777,0.5432022688125213,0.4045627695811925,0.4788899962930759,0.4280910082047072,0.009286345375908747
62,23,scarf,32,2,0.46396094230316776,0.46473004175878163,0.4050492589100334,0.44348885316838604,0.4297244118034042,0.009402575316252533
63,23,scarf,32,3,0.5274417361253972,0.5682153377068632,0.37993944902452764,0.48098879961712315,0.4212829565860924,0.00901406035464034
64,23,scarf,32,4,0.5143535312555778,0.49698732493743686,0.4900747012102008,0.5109675948816639,0.45521823406390655,0.008853491147359211
65,23,scarf,32,5,0.5594022672458616,0.5625859658184241,0.5255960488616296,0.5424035901442923,0.4211801257925182,0.009138311658586775
66,23,scarf,32,6,0.5166967943177121,0.5431555296413529,0.44823340368793024,0.4911955327091288,0.42537416988799676,0.009030589350947627
67,23,scarf,32,7,0.5720932203389831,0.5473067677113604,0.42205720351919185,0.4882568435907412,0.43259359578076984,0.009225236044989692
68,23,scarf,32,8,0.5234603255337169,0.4725604123705256,0.39100753465866656,0.4812118838982253,0.43161172607182113,0.00885689111403477
69,23,scarf,32,9,0.5493579866461222,0.548328754195429,0.496543626506917,0.46192670109970846,0.3826534721345797,0.009017965528700086
70,23,scarf,32,10,0.5573549904050779,0.5236007311886791,0.4624486788082956,0.4583683878215378,0.4608564201557159,0.008484050079628273
71,23,scarf,32,11,0.5576512627360085,0.49820078226857883,0.4456045779453021,0.48974676335277806,0.4484354344374285,0.00864511654700762
72,23,scarf,32,12,0.6006397632574173,0.5631006536845302,0.42495967937774537,0.46733531403987855,0.4301409791519052,0.009008208910624186
73,23,scarf,32,13,0.5459051227613284,0.5277695417185777,0.48590227619349086,0.4562062985959613,0.40812829377172716,0.008703475528293186
74,23,scarf,32,14,0.5140337270985365,0.4911028754568942,0.4530430247718383,0.4738117906269265,0.45984611079999377,0.008244064119127061
75,23,scarf,32,15,0.49690281695705424,0.44925161501278427,0.4394559440943225,0.4501599592311106,0.46100621854516555,0.008875761503054773
76,23,scarf,32,16,0.5618387036692122,0.5355091000575443,0.5284914429285235,0.528762366650669,0.4437835140219416,0.008728614961258088
77,23,scarf,32,17,0.5635651035553297,0.5220108382335985,0.44731955244501076,0.48643271643449143,0.4564150653467367,0.0088792708184984
78,23,scarf,32,18,0.5826295836317944,0.5384696197711043,0.4268649771584335,0.4443050195488709,0.4051867195437289,0.00850820541381836
79,23,scarf,32,19,0.5642008794695478,0.5404512755728672,0.49077187440341913,0.4750651433549818,0.44465993751095645,0.008804572953118218
80,23,scarf,32,20,0.5117625297957274,0.49294027806609225,0.3992014612960379,0.4108256601322133,0.43198849352929347,0.008478871098271123
81,23,scarf,32,21,0.5312555167750452,0.5605584110222096,0.488110909258032,0.4588466308391897,0.4355625553319372,0.009067561891343858
82,23,scarf,32,22,0.519290904864417,0.5374330592584314,0.45581886002224986,0.5438980661701436,0.46572432104672584,0.008814941512213813
83,23,scarf,32,23,0.49623536310855654,0.5330532620404277,0.5172577208385277,0.44707720475094925,0.47770167287951965,0.009051704406738281
84,23,scarf,32,24,0.5224865140923746,0.4965890230515739,0.42791969735393126,0.48691453815885394,0.4670029783620205,0.008612723577590216
85,23,scarf,32,25,0.5804641443852478,0.5322468925934908,0.41363041994774963,0.49659157861470515,0.4696828551400007,0.009145717772226485
86,23,scarf,32,26,0.46035856715845186,0.5268047708725674,0.43141599162160427,0.41425873339201486,0.45170659700097704,0.008900711271497939
87,23,scarf,32,27,0.4848636232633384,0.4941482312124289,0.45446293800010246,0.46338451036596523,0.4132116616571483,0.009006122748057047
88,23,scarf,32,28,0.4871956104423231,0.47785938970104597,0.44681406907098253,0.4696028151916147,0.3936599897277864,0.008665504909697034
89,23,scarf,32,29,0.5287449150805423,0.527178383892124,0.4883807805665608,0.4744842613762969,0.43764201899795124,0.008824980448162744
90,23,scarf,64,0,0.5701637885573037,0.5235977828925991,0.5012490306857207,0.48568065071923705,0.4716746985269631,0.009070658021503024
91,23,scarf,64,1,0.5613513142989083,0.54547192729129,0.4433177569278375,0.482102257756425,0.5024176593888465,0.00931921711674443
92,23,scarf,64,2,0.47500160786482615,0.48348895540638337,0.4349255402297768,0.46077343897542883,0.41736025964659207,0.008946850186302549
93,23,scarf,64,3,0.5522543719290087,0.4994422621239147,0.4572261640276023,0.4682671337557742,0.42047016063020515,0.008587347136603462
94,23,scarf,64,4,0.5371655396784857,0.4744923693979167,0.4590401124046083,0.5009770047802019,0.4199441609543805,0.009076158205668131
95,23,scarf,64,5,0.5531741345871862,0.5559643404187831,0.49307786366374384,0.5140733646040805,0.4353562779382257,0.009760187731848823
96,23,scarf,64,6,0.5577900555324604,0.5572595779970522,0.5462614069466454,0.47992529629035013,0.48082983590918726,0.008551551236046685
97,23,scarf,64,7,0.5497937738506354,0.5199937988920944,0.5109218866779525,0.48997285252986,0.44533046638942475,0.009301341904534233
98,23,scarf,64,8,0.517860875278465,0.5036117386973502,0.4558867188739586,0.5140443824558921,0.45605175801163433,0.008854834238688152
99,23,scarf,64,9,0.5651910501360794,0.56790519142956,0.5468939973005764,0.45985297816423537,0.5053302937687199,0.00923465092976888
100,23,scarf,64,10,0.5541188041812484,0.519208904812212,0.4495093364152822,0.4475134696427261,0.4489760833791512,0.00883091338957199
101,23,scarf,64,11,0.5375775676459095,0.5269873503558277,0.45366875255495115,0.4618105288300065,0.4836628828226627,0.009071609708997938
102,23,scarf,64,12,0.5933716341229575,0.5095197203067603,0.4263103127564751,0.4471119909181539,0.41296143996957496,0.008985691600375705
103,23,scarf,64,13,0.5263081206928999,0.5061238339433758,0.46990841858058746,0.44186452822485156,0.45688029097121147,0.008961019061860583
104,23,scarf,64,14,0.5263026956606138,0.5216607564899476,0.44127863034501896,0.49816712013498277,0.44092690615380614,0.008847372872488839
105,23,scarf,64,15,0.49822649480241266,0.4877143063071106,0.45667724263698245,0.46178917106193407,0.4468749042801015,0.008943284882439508
106,23,scarf,64,16,0.5881195534751841,0.544773014049764,0.5201316498439527,0.5529193552231235,0.47211703930932486,0.008825258775190874
107,23,scarf,64,17,0.5296839033396127,0.5420332705033326,0.47013279003569003,0.5085835074526767,0.4947117863743928,0.00894598607663755
108,23,scarf,64,18,0.5701216612906115,0.5566092792854612,0.4798071870528135,0.45931358611831646,0.4609948701731451,0.00844153298272027
109,23,scarf,64,19,0.551831850566457,0.5239826614164427,0.4807756702881125,0.4820451544215265,0.4503393323459102,0.009012571970621745
