dataset,corruption,fold,test_score
1068,scarf-nopretrain,27,0.8998298998298998
1068,scarf-nopretrain,28,0.9219148393676696
1068,scarf-nopretrain,29,0.9076263203553462
4538,scarf-nopretrain,0,0.5286811535142893
4538,scarf-nopretrain,1,0.5782772932316294
4538,scarf-nopretrain,2,0.5377311803375238
4538,scarf-nopretrain,3,0.5530132864889097
4538,scarf-nopretrain,4,0.5647288399727813
4538,scarf-nopretrain,5,0.5871235070728296
4538,scarf-nopretrain,6,0.5595310942076273
4538,scarf-nopretrain,7,0.5350696660607792
4538,scarf-nopretrain,8,0.5549332839364102
4538,scarf-nopretrain,9,0.5561806714527184
4538,scarf-nopretrain,10,0.5665942718995971
4538,scarf-nopretrain,11,0.5396641672662046
4538,scarf-nopretrain,12,0.5382191137675961
4538,scarf-nopretrain,13,0.5537621794610275
4538,scarf-nopretrain,14,0.5489337985692399
4538,scarf-nopretrain,15,0.5522569929386923
4538,scarf-nopretrain,16,0.5776927319978059
4538,scarf-nopretrain,17,0.5376139288554254
4538,scarf-nopretrain,18,0.569343165166248
4538,scarf-nopretrain,19,0.5690335108075859
4538,scarf-nopretrain,20,0.5369601694421586
4538,scarf-nopretrain,21,0.5540498339273889
4538,scarf-nopretrain,22,0.567493169794226
4538,scarf-nopretrain,23,0.5309741966154358
4538,scarf-nopretrain,24,0.5577114294480977
4538,scarf-nopretrain,25,0.5320989136217918
4538,scarf-nopretrain,26,0.5752620403966842
4538,scarf-nopretrain,27,0.5737270096270712
4538,scarf-nopretrain,28,0.5473642911704065
4538,scarf-nopretrain,29,0.5607872847520651
1485,scarf-nopretrain,0,0.5845908041895972
1485,scarf-nopretrain,1,0.5564061480030859
1485,scarf-nopretrain,2,0.5614346590909091
1485,scarf-nopretrain,3,0.5169057092625149
1485,scarf-nopretrain,4,0.5862798864675037
1485,scarf-nopretrain,5,0.5687139916171744
1485,scarf-nopretrain,6,0.5729189789123196
1485,scarf-nopretrain,7,0.5673060921083287
1485,scarf-nopretrain,8,0.5556887157805963
1485,scarf-nopretrain,9,0.5360425898982271
1485,scarf-nopretrain,10,0.5633824176718414
1485,scarf-nopretrain,11,0.5652817234848485
1485,scarf-nopretrain,12,0.5653588969761525
1485,scarf-nopretrain,13,0.580614132445431
1485,scarf-nopretrain,14,0.5624501899731257
1485,scarf-nopretrain,15,0.5825054850728322
1485,scarf-nopretrain,16,0.5706950105697287
1485,scarf-nopretrain,17,0.5557281553398059
1485,scarf-nopretrain,18,0.5711395719532084
1485,scarf-nopretrain,19,0.5556887157805963
1485,scarf-nopretrain,20,0.5768667426136617
1485,scarf-nopretrain,21,0.5883641098484849
1485,scarf-nopretrain,22,0.6268347537878789
1485,scarf-nopretrain,23,0.5393198035399871
1485,scarf-nopretrain,24,0.5262222222222223
1485,scarf-nopretrain,25,0.5538461538461539
1485,scarf-nopretrain,26,0.5620995774579962
1485,scarf-nopretrain,27,0.5730516598615303
1485,scarf-nopretrain,28,0.5923016612671785
1485,scarf-nopretrain,29,0.5826907643889215
