,dataset,corruption,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
0,23,pass,0,0.5817371492081133,0,0,0,0,0.010017760925822787
1,23,pass,1,0.5613158283555311,0,0,0,0,0.010297478569878473
2,23,pass,2,0.49619570074771613,0,0,0,0,0.010506815380520292
3,23,pass,3,0.5368292264951209,0,0,0,0,0.010868807633717855
4,23,pass,4,0.531137754826688,0,0,0,0,0.010450448209082175
5,23,pass,5,0.5375120888648189,0,0,0,0,0.01150191326936086
6,23,pass,6,0.5700856938762257,0,0,0,0,0.011192927537141023
7,23,pass,7,0.5647231876588923,0,0,0,0,0.010928328831990559
8,23,pass,8,0.5290647207314227,0,0,0,0,0.011178574530906926
9,23,pass,9,0.5321375287035591,0,0,0,0,0.010320650206671821
10,23,pass,10,0.5479979341476848,0,0,0,0,0.011237069412514015
11,23,pass,11,0.5246024071340017,0,0,0,0,0.011466005113389757
12,23,pass,12,0.5832117942985341,0,0,0,0,0.010268554352877433
13,23,pass,13,0.49788917211593015,0,0,0,0,0.010050694147745768
14,23,pass,14,0.43540902790741015,0,0,0,0,0.010859655009375678
15,23,pass,15,0.502054830899008,0,0,0,0,0.010300410339255738
16,23,pass,16,0.5781947297400938,0,0,0,0,0.010223145436758946
17,23,pass,17,0.5612200147534446,0,0,0,0,0.012462412869488751
18,23,pass,18,0.5630465973396286,0,0,0,0,0.012191307397536289
19,23,pass,19,0.569092073105195,0,0,0,0,0.012098826008078493
20,23,pass,20,0.5571325155620701,0,0,0,0,0.011211872100830078
21,23,pass,21,0.533795371058816,0,0,0,0,0.010307489879547603
22,23,pass,22,0.4671656823812093,0,0,0,0,0.009995641871395275
23,23,pass,23,0.47676652384795165,0,0,0,0,0.009910331832038032
24,23,pass,24,0.5069315859376953,0,0,0,0,0.010423984283056015
25,23,pass,25,0.5247260925658332,0,0,0,0,0.010231084293789335
26,23,pass,26,0.5014614635477461,0,0,0,0,0.010510638908103661
27,23,pass,27,0.49938801550964,0,0,0,0,0.010465112599459562
28,23,pass,28,0.5430339829719208,0,0,0,0,0.010147329360719711
29,23,pass,29,0.4928990057694218,0,0,0,0,0.010621588907124084
30,23,scarf,0,0.5427027042999314,0,0,0,0,0.011037588119506836
31,23,scarf,1,0.5694143457720667,0,0,0,0,0.010388292648174145
32,23,scarf,2,0.4956940235336689,0,0,0,0,0.014128605524698893
33,23,scarf,3,0.555515670769908,0,0,0,0,0.01506552431318495
34,23,scarf,4,0.5249761090316039,0,0,0,0,0.011669098384796626
35,23,scarf,5,0.5394185723175903,0,0,0,0,0.009515050384733412
36,23,scarf,6,0.5587058935434848,0,0,0,0,0.013297248769689489
37,23,scarf,7,0.5925765276274294,0,0,0,0,0.010063295011167173
38,23,scarf,8,0.5373074077401998,0,0,0,0,0.013592263062795004
39,23,scarf,9,0.5544194745141291,0,0,0,0,0.014392190509372287
40,23,scarf,10,0.5361934883433546,0,0,0,0,0.00964579919371942
41,23,scarf,11,0.5268870607227572,0,0,0,0,0.013487153583102755
42,23,scarf,12,0.5791598396775124,0,0,0,0,0.0110824273692237
43,23,scarf,13,0.49548939355658844,0,0,0,0,0.012635950349334978
44,23,scarf,14,0.5601552011322117,0,0,0,0,0.01438571015993754
45,23,scarf,15,0.49022656141542126,0,0,0,0,0.014048500193489922
46,23,scarf,16,0.5762594889731456,0,0,0,0,0.013285117679172093
47,23,scarf,17,0.530235333625442,0,0,0,0,0.010162979364395142
48,23,scarf,18,0.5892916818342463,0,0,0,0,0.01277266608344184
49,23,scarf,19,0.5356833009742701,0,0,0,0,0.010620249642266167
50,23,scarf,20,0.5004973318562115,0,0,0,0,0.012590974569320679
51,23,scarf,21,0.5663260292494512,0,0,0,0,0.012982204225328234
52,23,scarf,22,0.5749443149390884,0,0,0,0,0.011692772007951832
53,23,scarf,23,0.5077337400992523,0,0,0,0,0.010003063413831923
54,23,scarf,24,0.5071280709760493,0,0,0,0,0.014220865945967416
55,23,scarf,25,0.5354712917524482,0,0,0,0,0.012611521614922417
56,23,scarf,26,0.49055624553965393,0,0,0,0,0.011833280324935913
57,23,scarf,27,0.4655289393274498,0,0,0,0,0.010840415954589844
58,23,scarf,28,0.51520705337608,0,0,0,0,0.014794839753044976
59,23,scarf,29,0.5115438256658595,0,0,0,0,0.01101845833990309
60,1049,pass,0,0.8710582986542044,0,0,0,0,0.015551400184631348
61,1049,pass,1,0.9030743490536441,0,0,0,0,0.013349629938602448
62,1049,pass,2,0.9030743490536441,0,0,0,0,0.01198200952439081
63,1049,pass,3,0.8972602739726028,0,0,0,0,0.012046838800112406
64,1049,pass,4,0.9060787671232876,0,0,0,0,0.011096566915512085
65,1049,pass,5,0.9105301683572101,0,0,0,0,0.012032076716423035
66,1049,pass,6,0.9105301683572101,0,0,0,0,0.01263008713722229
67,1049,pass,7,0.8988151754685232,0,0,0,0,0.013158177074633147
68,1049,pass,8,0.912771702990106,0,0,0,0,0.01422486235113705
69,1049,pass,9,0.899587855067307,0,0,0,0,0.011985407107406192
70,1049,pass,10,0.9074272635916473,0,0,0,0,0.011708759599261813
71,1049,pass,11,0.8926144801573569,0,0,0,0,0.012472523295361063
72,1049,pass,12,0.9030743490536441,0,0,0,0,0.013767365898404802
73,1049,pass,13,0.8967590189929495,0,0,0,0,0.011168800294399261
74,1049,pass,14,0.9030743490536441,0,0,0,0,0.015195492066835103
75,1049,pass,15,0.9098601201580787,0,0,0,0,0.013009595243554366
76,1049,pass,16,0.8927747165101062,0,0,0,0,0.011000596814685397
77,1049,pass,17,0.9025276197247093,0,0,0,0,0.01249826947848002
78,1049,pass,18,0.886227910577239,0,0,0,0,0.014017147322495779
79,1049,pass,19,0.8713960876902477,0,0,0,0,0.012863129377365112
80,1049,pass,20,0.9090075911520447,0,0,0,0,0.01306070884068807
81,1049,pass,21,0.9003062838679277,0,0,0,0,0.0134834928645028
82,1049,pass,22,0.8834539564606897,0,0,0,0,0.013963447676764594
83,1049,pass,23,0.8805882977593712,0,0,0,0,0.012783643272187974
84,1049,pass,24,0.8876125155382317,0,0,0,0,0.015393467886107308
85,1049,pass,25,0.9328976262679075,0,0,0,0,0.011729576559953912
86,1049,pass,26,0.8904109589041096,0,0,0,0,0.011193143694024337
87,1049,pass,27,0.883437602088814,0,0,0,0,0.013297104835510254
88,1049,pass,28,0.8988151754685232,0,0,0,0,0.010656466850867638
89,1049,pass,29,0.888835017491285,0,0,0,0,0.009653736101953607
90,1049,scarf,0,0.8740315792295527,0,0,0,0,0.009459031479699271
91,1049,scarf,1,0.9041095890410958,0,0,0,0,0.011057507991790772
92,1049,scarf,2,0.875448502301047,0,0,0,0,0.010347890853881835
93,1049,scarf,3,0.9196475710903836,0,0,0,0,0.014113441109657288
94,1049,scarf,4,0.9034197274450173,0,0,0,0,0.01195447359766279
95,1049,scarf,5,0.8988151754685232,0,0,0,0,0.01449669897556305
96,1049,scarf,6,0.9057934392293148,0,0,0,0,0.013661635773522514
97,1049,scarf,7,0.9119671273510394,0,0,0,0,0.013675163189570108
