dataset,corruption,fold,val_score,test_score
458,tabnet,26,1.0,0.9821929162346162
458,tabnet,27,1.0,0.9762125935823205
458,tabnet,28,1.0,0.9763360592804423
458,tabnet,29,1.0,0.9881633281936021
469,tabnet,0,0.3,0.1769997892774131
469,tabnet,1,0.2625,0.19309563987938422
469,tabnet,2,0.2875,0.1646453289652036
469,tabnet,3,0.225,0.22665478003688913
469,tabnet,4,0.275,0.13902252602372422
469,tabnet,5,0.275,0.1604339541801937
469,tabnet,6,0.3125,0.21026487511434447
469,tabnet,7,0.3,0.22525533154386174
469,tabnet,8,0.3125,0.15442077328219744
469,tabnet,9,0.3,0.18988769082363297
469,tabnet,10,0.2875,0.1734810077877305
469,tabnet,11,0.3125,0.16221728833021384
469,tabnet,12,0.2875,0.1650859569707935
469,tabnet,13,0.2625,0.23285342871280373
469,tabnet,14,0.3,0.1467897864713902
469,tabnet,15,0.2625,0.24858179153441937
469,tabnet,16,0.325,0.1769943140398349
469,tabnet,17,0.35,0.15008589573565728
469,tabnet,18,0.325,0.19012799328498348
469,tabnet,19,0.3125,0.1373343120753276
469,tabnet,20,0.325,0.14980627116603756
469,tabnet,21,0.2875,0.17097946193836605
469,tabnet,22,0.3625,0.15880208425043876
469,tabnet,23,0.325,0.1384396129951789
469,tabnet,24,0.3125,0.1794030123178997
469,tabnet,25,0.3375,0.17251713757228462
469,tabnet,26,0.375,0.16252992048585818
469,tabnet,27,0.2625,0.21218382554006016
469,tabnet,28,0.2375,0.21333093110108683
469,tabnet,29,0.3625,0.1643796461852463
1049,tabnet,0,0.9315069,0.8931914539924533
1049,tabnet,1,0.93835616,0.8516496347187436
1049,tabnet,2,0.94520545,0.8871694130285355
1049,tabnet,3,0.9315069,0.9006026730862943
1049,tabnet,4,0.94520545,0.8931914539924533
1049,tabnet,5,0.96575344,0.9029262832471617
1049,tabnet,6,0.9520548,0.7705354506008768
1049,tabnet,7,0.9520548,0.8771799262381454
1049,tabnet,8,0.9520548,0.9043966439300425
1049,tabnet,9,0.9589041,0.8857237094934199
1049,tabnet,10,0.9520548,0.8718223649730501
1049,tabnet,11,0.9315069,0.900082327928424
1049,tabnet,12,0.94520545,0.923727793979913
1049,tabnet,13,0.9589041,0.890387626268119
1049,tabnet,14,0.93835616,0.9016609510959528
1049,tabnet,15,0.94520545,0.8726635620069538
1049,tabnet,16,0.96575344,0.9031788862020868
1049,tabnet,17,0.9589041,0.8781366378465492
1049,tabnet,18,0.93835616,0.883437602088814
1049,tabnet,19,0.94520545,0.9003062838679277
1049,tabnet,20,0.96575344,0.8995594638629797
1049,tabnet,21,0.94520545,0.912771702990106
1049,tabnet,22,0.9726027,0.8984471982054575
1049,tabnet,23,0.94520545,0.9052173849917603
1049,tabnet,24,0.93835616,0.9145482433153665
1049,tabnet,25,0.9246575,0.9149592579218084
1049,tabnet,26,0.96575344,0.9043966439300425
1049,tabnet,27,0.98630136,0.9033659491193738
1049,tabnet,28,0.93835616,0.8984471982054575
1049,tabnet,29,0.93835616,0.907229161547208
1050,tabnet,0,0.9235669,0.8528345091539544
1050,tabnet,1,0.9299363,0.8537954890248918
1050,tabnet,2,0.9299363,0.8636650982058065
1050,tabnet,3,0.91719747,0.873912562410965
1050,tabnet,4,0.93630576,0.8702795527156549
1050,tabnet,5,0.9235669,0.88572608503603
1050,tabnet,6,0.93630576,0.8650482893678743
1050,tabnet,7,0.9299363,0.8572078175536172
1050,tabnet,8,0.9299363,0.8652321743421538
1050,tabnet,9,0.9299363,0.8528345091539544
1050,tabnet,10,0.9299363,0.8587663906806289
1050,tabnet,11,0.93630576,0.8729130586104632
1050,tabnet,12,0.9299363,0.862356927007192
1050,tabnet,13,0.9235669,0.8894551258480891
