dataset,corruption,fold,test_score
1068,NPT,13,0.9405722470042859
1068,NPT,14,0.927692506639875
1068,NPT,15,0.8864158275922982
1068,NPT,16,0.9246514482908335
1068,NPT,17,0.9025073656019528
1068,NPT,18,0.9232089675134186
1068,NPT,19,0.9115927979629559
1068,NPT,20,0.945416541161222
1068,NPT,21,0.9086872586872589
1068,NPT,22,0.9328923926080325
1068,NPT,23,0.9129902648805849
1068,NPT,24,0.9327072876233546
1068,NPT,25,0.9202221464995187
1068,NPT,26,0.9419732447697731
1068,NPT,27,0.9129902648805849
1068,NPT,28,0.9216197653697652
1068,NPT,29,0.9498453182663711
1464,NPT,0,0.741
1464,NPT,1,0.7863747680890538
1464,NPT,2,0.7647952883062602
1464,NPT,3,0.849502840909091
1464,NPT,4,0.7655000000000001
1464,NPT,5,0.8233487165565712
1464,NPT,6,0.7209188935771215
1464,NPT,7,0.7761904761904762
1464,NPT,8,0.75182751446144
1464,NPT,9,0.8143263679973982
1464,NPT,10,0.7546721311475408
1464,NPT,11,0.7842818428184283
1464,NPT,12,0.833656936878337
1464,NPT,13,0.6984049708538851
1464,NPT,14,0.7896018735362997
1464,NPT,15,0.7066666666666667
1464,NPT,16,0.7748639087430509
1464,NPT,17,0.7484106891701828
1464,NPT,18,0.8061016949152543
1464,NPT,19,0.7472340425531915
1464,NPT,20,0.7633942803563057
1464,NPT,21,0.7578658580607899
1464,NPT,22,0.7608624276928002
1464,NPT,23,0.7684320785597383
1464,NPT,24,0.7718534362029893
1464,NPT,25,0.7495450785773367
1464,NPT,26,0.7931604445711029
1464,NPT,27,0.8275186104218363
1464,NPT,28,0.776980056980057
1464,NPT,29,0.790881862039006
1510,NPT,0,0.9469241285030758
1510,NPT,1,0.991214879303522
1510,NPT,2,0.9558507420421927
1510,NPT,3,0.9825365904115021
1510,NPT,4,0.9565875472996217
1510,NPT,5,0.9565590677476351
1510,NPT,6,0.9736310301256335
1510,NPT,7,0.9736164257756981
1510,NPT,8,0.9305207463102201
1510,NPT,9,0.9736059629151035
1510,NPT,10,0.9649122807017544
1510,NPT,11,0.9824561403508771
1510,NPT,12,0.9387790689875652
1510,NPT,13,0.9737373909269983
1510,NPT,14,0.9565590677476351
1510,NPT,15,0.9653153153153154
1510,NPT,16,0.9737066939192642
1510,NPT,17,0.9912054752585661
1510,NPT,18,0.9737624581375282
1510,NPT,19,0.9825365904115021
1510,NPT,20,0.9303171934750882
1510,NPT,21,0.9648241482827948
1510,NPT,22,0.9823623542652152
1510,NPT,23,0.9473684210526315
1510,NPT,24,0.9294764689501531
1510,NPT,25,0.9735104452253156
1510,NPT,26,0.95621371229747
1510,NPT,27,0.9651137980085349
1510,NPT,28,0.9298245614035088
1510,NPT,29,0.9739189533599525
1494,NPT,0,0.8583312925856035
1494,NPT,1,0.8533401371358551
1494,NPT,2,0.8776767302196012
1494,NPT,3,0.8900323455738381
1494,NPT,4,0.8628197261757153
1494,NPT,5,0.8772362867361458
1494,NPT,6,0.8597920484639535
1494,NPT,7,0.8438312128640889
1494,NPT,8,0.8562857430962704
1494,NPT,9,0.843959450692577
1494,NPT,10,0.8567359660556613
1494,NPT,11,0.8523563051228847
1494,NPT,12,0.8279754564768456
1494,NPT,13,0.8595936855328834
1494,NPT,14,0.8858172772307147
1494,NPT,15,0.8672985781990521
1494,NPT,16,0.7864412719080511
1494,NPT,17,0.8548334235538027
1494,NPT,18,0.8544251297001352
1494,NPT,19,0.8751440211904169
1494,NPT,20,0.8658666935565191
1494,NPT,21,0.8666321416988376
1494,NPT,22,0.8695988143146237
1494,NPT,23,0.8517360077406231
1494,NPT,24,0.8587034469346712
1494,NPT,25,0.854243567310595
1494,NPT,26,0.8643717558113293
1494,NPT,27,0.8767772511848341
1494,NPT,28,0.8495931698088914
1494,NPT,29,0.8252987203213459
40975,NPT,0,1.0
40975,NPT,1,0.997176908090785
40975,NPT,2,0.9883606964502867
40975,NPT,3,0.997158059947173
40975,NPT,4,0.9885676355892359
40975,NPT,5,0.9913103759112941
40975,NPT,6,0.99422528951052
40975,NPT,7,0.9970562011067658
