,id,corruption,fold,test_score
0,4538,lr,0,0.46537652355512626
1,4538,lr,1,0.441471605860762
2,4538,lr,2,0.4622832945142291
3,4538,lr,3,0.4351565644276366
4,4538,lr,4,0.4506533814904018
5,4538,lr,5,0.46853342957453753
6,4538,lr,6,0.46282655191832306
7,4538,lr,7,0.4421301174169144
8,4538,lr,8,0.44705113154726434
9,4538,lr,9,0.44683349945787787
10,4538,lr,10,0.44720250414332824
11,4538,lr,11,0.45134415856884946
12,4538,lr,12,0.44176813166303264
13,4538,lr,13,0.4488242543417457
14,4538,lr,14,0.4417404572661159
15,4538,lr,15,0.4608569988976813
16,4538,lr,16,0.4456495531466775
17,4538,lr,17,0.43677915967668485
18,4538,lr,18,0.46079648979083665
19,4538,lr,19,0.44272463190087813
20,4538,lr,20,0.4426414848668537
21,4538,lr,21,0.42816131097587484
22,4538,lr,22,0.42567788957756925
23,4538,lr,23,0.43957294527585394
24,4538,lr,24,0.44080577316334785
25,4538,lr,25,0.4437796102980637
26,4538,lr,26,0.4425443870412796
27,4538,lr,27,0.4568840266677527
28,4538,lr,28,0.4541511113018007
29,4538,lr,29,0.44246727414290016
0,40975,lr,0,0.9163528194686558
1,40975,lr,1,0.9283367268387562
2,40975,lr,2,0.9091298902587437
3,40975,lr,3,0.8978769068024424
4,40975,lr,4,0.9343602154605095
5,40975,lr,5,0.9184146199111358
6,40975,lr,6,0.9097457383711709
7,40975,lr,7,0.9213140171570868
8,40975,lr,8,0.9241656673225969
9,40975,lr,9,0.9095806504407071
10,40975,lr,10,0.9332712744174748
11,40975,lr,11,0.9332293766396084
12,40975,lr,12,0.9021704382142474
13,40975,lr,13,0.9165190259276814
14,40975,lr,14,0.9221776922055149
15,40975,lr,15,0.9188808168566661
16,40975,lr,16,0.9220254914802276
17,40975,lr,17,0.9239957711390134
18,40975,lr,18,0.9139367147387936
19,40975,lr,19,0.9328996928270705
20,40975,lr,20,0.9015066859355988
21,40975,lr,21,0.9380006099439459
22,40975,lr,22,0.9208739452431529
23,40975,lr,23,0.9269620613039841
24,40975,lr,24,0.9542727084093585
25,40975,lr,25,0.9445507710756949
26,40975,lr,26,0.9277168204787787
27,40975,lr,27,0.9113255537553888
28,40975,lr,28,0.9249265832960877
29,40975,lr,29,0.9015360996906089
0,40701,lr,0,0.8712787084983245
1,40701,lr,1,0.8586936000586927
2,40701,lr,2,0.8479255100475533
3,40701,lr,3,0.8522625680209124
4,40701,lr,4,0.851565105372903
5,40701,lr,5,0.8639480172001911
6,40701,lr,6,0.8567223774614551
7,40701,lr,7,0.8750692029914953
8,40701,lr,8,0.8496938180702561
9,40701,lr,9,0.8489901556049538
10,40701,lr,10,0.8597846153846154
11,40701,lr,11,0.8725545646576908
12,40701,lr,12,0.8553765637741717
13,40701,lr,13,0.8399518987341772
14,40701,lr,14,0.8598175885257701
15,40701,lr,15,0.8631436755208474
16,40701,lr,16,0.855635546177919
17,40701,lr,17,0.8595657323972095
18,40701,lr,18,0.8575873485468636
19,40701,lr,19,0.8636718023982112
20,40701,lr,20,0.8813654084158415
21,40701,lr,21,0.8433058632099153
22,40701,lr,22,0.8575238238633868
23,40701,lr,23,0.8482510550887021
24,40701,lr,24,0.8470429314644765
25,40701,lr,25,0.849968650897853
26,40701,lr,26,0.8677031170677226
27,40701,lr,27,0.8639480172001911
28,40701,lr,28,0.8856170475602224
29,40701,lr,29,0.8549425312187402
0,1497,lr,0,0.7003679840628415
1,1497,lr,1,0.6979137207757689
2,1497,lr,2,0.7084439800731852
3,1497,lr,3,0.701732213420037
4,1497,lr,4,0.7080176708361574
5,1497,lr,5,0.6961458121950825
6,1497,lr,6,0.6911997130567851
7,1497,lr,7,0.6945015141234591
8,1497,lr,8,0.6984127435975676
9,1497,lr,9,0.7118933975544323
10,1497,lr,10,0.6849776870304024
