dataset,corruption,fold,test_score
54,NPT,23,0.7961665850042888
54,NPT,24,0.7834629703877658
54,NPT,25,0.8219406966340922
54,NPT,26,0.8610169407028663
54,NPT,27,0.7863593457817354
54,NPT,28,0.7383471696534996
54,NPT,29,0.8243209551110965
50,NPT,0,1.0
50,NPT,1,0.9947967816156457
50,NPT,2,1.0
50,NPT,3,0.9947990719515616
50,NPT,4,0.9947990719515616
50,NPT,5,1.0
50,NPT,6,1.0
50,NPT,7,0.9948037233761428
50,NPT,8,1.0
50,NPT,9,1.0
50,NPT,10,1.0
50,NPT,11,1.0
50,NPT,12,0.9896109128582941
50,NPT,13,1.0
50,NPT,14,1.0
50,NPT,15,1.0
50,NPT,16,1.0
50,NPT,17,1.0
50,NPT,18,0.9948024453024452
50,NPT,19,1.0
50,NPT,20,0.9948012526526465
50,NPT,21,1.0
50,NPT,22,1.0
50,NPT,23,1.0
50,NPT,24,1.0
50,NPT,25,1.0
50,NPT,26,1.0
50,NPT,27,0.9844355463704467
50,NPT,28,0.9948024453024452
50,NPT,29,0.9896082621082621
31,NPT,0,0.6675192534203134
31,NPT,1,0.7655166931637519
31,NPT,2,0.7583333333333333
31,NPT,3,0.732590799031477
31,NPT,4,0.7672391220639199
31,NPT,5,0.7191792418108206
31,NPT,6,0.7234100089420616
31,NPT,7,0.6445882918620026
31,NPT,8,0.7206400575332614
31,NPT,9,0.683058088980419
31,NPT,10,0.7476809227314483
31,NPT,11,0.7093852676205618
31,NPT,12,0.7447054293415479
31,NPT,13,0.7205505159138377
31,NPT,14,0.7215799373040752
31,NPT,15,0.7430304197150558
31,NPT,16,0.7135423197492163
31,NPT,17,0.7428186363786881
31,NPT,18,0.7362483130904184
31,NPT,19,0.6931068512814379
31,NPT,20,0.7228585666394853
31,NPT,21,0.7319999999999999
31,NPT,22,0.7586457680250784
31,NPT,23,0.7579159345857548
31,NPT,24,0.7660451547437849
31,NPT,25,0.724839955376298
31,NPT,26,0.7005369946605644
31,NPT,27,0.75
31,NPT,28,0.6685964912280702
31,NPT,29,0.7205821205821205
1462,NPT,0,1.0
1462,NPT,1,1.0
1462,NPT,2,0.9927208328861221
1462,NPT,3,0.99636038275639
1462,NPT,4,1.0
1462,NPT,5,0.9963635401902552
1462,NPT,6,0.9963616714255011
1462,NPT,7,0.9963619761242932
1462,NPT,8,0.9963612557979793
1462,NPT,9,0.9927236008039579
1462,NPT,10,0.9963624734870188
1462,NPT,11,1.0
1462,NPT,12,0.9927204301075269
1462,NPT,13,0.9963616714255011
1462,NPT,14,0.9963633477213497
1462,NPT,15,0.9963624734870188
1462,NPT,16,0.9963631548854984
1462,NPT,17,0.9963623748997803
1462,NPT,18,1.0
1462,NPT,19,1.0
1462,NPT,20,0.9963625716985401
1462,NPT,21,1.0
1462,NPT,22,1.0
1462,NPT,23,1.0
1462,NPT,24,1.0
1462,NPT,25,0.9963620765502779
1462,NPT,26,1.0
1462,NPT,27,0.9963618751521186
1462,NPT,28,1.0
1462,NPT,29,0.9963616714255011
