,dataset,corruption,loss,patience,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
0,kc1,draw-feature,loss=scarf,9999,0,0.8530421416677343,0,0,0,0,0.008002352694670358
1,kc1,draw-feature,loss=scarf,9999,1,0.8487188883988745,0,0,0,0,0.00799664835135142
2,kc1,draw-feature,loss=scarf,9999,2,0.8337912714473104,0,0,0,0,0.007949661831061045
3,kc1,draw-feature,loss=scarf,9999,3,0.8258676511447894,0,0,0,0,0.007965138693650564
4,kc1,draw-feature,loss=scarf,9999,4,0.8402731850933252,0,0,0,0,0.007873525063196819
