,dataset,corruption,loss,patience,fold,test_score,z_score_LR,p_score_LR,z_score_GBT,p_score_GBT,avg_loss_time
0,heart,draw-feature,loss=scarf,9999,0,0.8697052523481786,0,0,0,0,0.0073286393880844115
1,heart,draw-feature,loss=scarf,9999,1,0.8373634038595675,0,0,0,0,0.00747981333732605
2,heart,draw-feature,loss=scarf,9999,2,0.8255852842809365,0,0,0,0,0.007555811484654744
3,heart,draw-feature,loss=scarf,9999,3,0.8360655737704918,0,0,0,0,0.007525356928507487
4,heart,draw-feature,loss=scarf,9999,4,0.8129826457695309,0,0,0,0,0.007339040875434875
