,id,corruption,fold,test_score
0,4538,gbt,0,0.6522650325264747
1,4538,gbt,1,0.658591318194722
2,4538,gbt,2,0.6590345474355779
3,4538,gbt,3,0.6500020535387521
4,4538,gbt,4,0.6779551367470991
5,4538,gbt,5,0.6592051390291237
6,4538,gbt,6,0.6695378046152183
7,4538,gbt,7,0.6571170574650269
8,4538,gbt,8,0.6542720677581076
9,4538,gbt,9,0.6582405818173881
10,4538,gbt,10,0.6666601292493639
11,4538,gbt,11,0.6588975027439792
12,4538,gbt,12,0.6393031409078319
13,4538,gbt,13,0.6732172978354675
14,4538,gbt,14,0.664097172533075
15,4538,gbt,15,0.6610077116352344
16,4538,gbt,16,0.6574266807060211
17,4538,gbt,17,0.650456494566285
18,4538,gbt,18,0.660645596737504
19,4538,gbt,19,0.6600643656387761
20,4538,gbt,20,0.6454371035098652
21,4538,gbt,21,0.6686908978890405
22,4538,gbt,22,0.6458613265436617
23,4538,gbt,23,0.6453046833763705
24,4538,gbt,24,0.6600559655503913
25,4538,gbt,25,0.6628482158493845
26,4538,gbt,26,0.6645820346196114
27,4538,gbt,27,0.6741934657131062
28,4538,gbt,28,0.6615854113372797
29,4538,gbt,29,0.6454378048010238
0,40975,gbt,0,0.9800122672159809
1,40975,gbt,1,0.9739242911275706
2,40975,gbt,2,0.9714766168164862
3,40975,gbt,3,0.979157022184479
4,40975,gbt,4,0.9908920879201796
5,40975,gbt,5,0.9861348237394189
6,40975,gbt,6,0.9605413636646155
7,40975,gbt,7,0.9857613878311249
8,40975,gbt,8,0.9771732267403356
9,40975,gbt,9,0.9881534855224953
10,40975,gbt,10,0.9971502121544917
11,40975,gbt,11,0.982662942642325
12,40975,gbt,12,0.9745769079511706
13,40975,gbt,13,0.9908920879201796
14,40975,gbt,14,0.9711877262029179
15,40975,gbt,15,0.9825725036056575
16,40975,gbt,16,0.9882540657409371
17,40975,gbt,17,0.9770696107806303
18,40975,gbt,18,0.9777716983876292
19,40975,gbt,19,0.9799242433379405
20,40975,gbt,20,0.9855084610101517
21,40975,gbt,21,0.9851121434348902
22,40975,gbt,22,0.9859995015850019
23,40975,gbt,23,0.9881534855224953
24,40975,gbt,24,0.9971161578316885
25,40975,gbt,25,0.9740789346069494
26,40975,gbt,26,0.9886047750858165
27,40975,gbt,27,0.9914759795989702
28,40975,gbt,28,0.9405573020541077
29,40975,gbt,29,0.973574046288959
0,40701,gbt,0,0.9499202981651377
1,40701,gbt,1,0.9417811123274505
2,40701,gbt,2,0.9491479888849216
3,40701,gbt,3,0.9606325375773651
4,40701,gbt,4,0.942719337606122
5,40701,gbt,5,0.9295529619805482
6,40701,gbt,6,0.9498356555171585
7,40701,gbt,7,0.9497392104337473
8,40701,gbt,8,0.9577432485974025
9,40701,gbt,9,0.9448077970425011
10,40701,gbt,10,0.9465003721795241
11,40701,gbt,11,0.9521956338476051
12,40701,gbt,12,0.9451878275928167
13,40701,gbt,13,0.9481271771537841
14,40701,gbt,14,0.9534613630505046
15,40701,gbt,15,0.9542565882572823
16,40701,gbt,16,0.9472562114572386
17,40701,gbt,17,0.9449400500810136
18,40701,gbt,18,0.9388182857142856
19,40701,gbt,19,0.9350688941862527
20,40701,gbt,20,0.9548924706611673
21,40701,gbt,21,0.9357142636248252
22,40701,gbt,22,0.938770027432865
23,40701,gbt,23,0.9563358342455878
24,40701,gbt,24,0.9468852039620405
25,40701,gbt,25,0.9404233271532109
26,40701,gbt,26,0.9547281105990784
27,40701,gbt,27,0.9553747657561558
28,40701,gbt,28,0.9468852039620405
29,40701,gbt,29,0.9413624121727051
0,1497,gbt,0,0.997254684478252
1,1497,gbt,1,0.9954040908466115
2,1497,gbt,2,0.9990842738035084
3,1497,gbt,3,0.9963088606211674
4,1497,gbt,4,0.9990842738035084
5,1497,gbt,5,0.9981684709742297
6,1497,gbt,6,0.9944885349429087
7,1497,gbt,7,0.9981564815275222
8,1497,gbt,8,0.9972538608553784
9,1497,gbt,9,0.9954205413821077
10,1497,gbt,10,0.9990812723969987
11,1497,gbt,11,0.9972525713950078
12,1497,gbt,12,0.991717935049701
13,1497,gbt,13,0.9972519709225951
14,1497,gbt,14,0.9981685920967395
15,1497,gbt,15,0.9990850866542688
16,1497,gbt,16,0.9963251460426447
17,1497,gbt,17,0.9972399607839783
18,1497,gbt,18,0.9899099267010358
