,id,corruption,fold,test_score
25,44,gbt,25,0.9444084925113223
26,44,gbt,26,0.949900245634327
27,44,gbt,27,0.9467311341131857
28,44,gbt,28,0.9543973941368078
29,44,gbt,29,0.9411217966747782
0,46,gbt,0,0.9498978166732247
1,46,gbt,1,0.9562218759891291
2,46,gbt,2,0.9626680488110001
3,46,gbt,3,0.9656937366337067
4,46,gbt,4,0.9578340675566657
5,46,gbt,5,0.9531407482672234
6,46,gbt,6,0.9624100895509221
7,46,gbt,7,0.9702844497646103
8,46,gbt,8,0.9672666822510609
9,46,gbt,9,0.9609586043073505
10,46,gbt,10,0.9656955975937654
11,46,gbt,11,0.9625963358014289
12,46,gbt,12,0.9579422589268092
13,46,gbt,13,0.9610349742504365
14,46,gbt,14,0.9609157337972152
15,46,gbt,15,0.9560859292957786
16,46,gbt,16,0.9639738932339764
17,46,gbt,17,0.9781344979529104
18,46,gbt,18,0.9625670162353395
19,46,gbt,19,0.962530794373928
20,46,gbt,20,0.9547768711058505
21,46,gbt,21,0.968767861134164
22,46,gbt,22,0.9595298212949689
23,46,gbt,23,0.9626323791150581
24,46,gbt,24,0.9608887049765767
25,46,gbt,25,0.9408494293220357
26,46,gbt,26,0.9689090304457951
27,46,gbt,27,0.9454331886661287
28,46,gbt,28,0.9516766899709685
29,46,gbt,29,0.9671715676645124
0,50,gbt,0,0.9895457551707553
1,50,gbt,1,0.9948004982894542
2,50,gbt,2,0.9843473848965042
3,50,gbt,3,0.9790101958409044
4,50,gbt,4,0.9741609773405765
5,50,gbt,5,0.994782461632168
6,50,gbt,6,0.994782461632168
7,50,gbt,7,0.9528661783785415
8,50,gbt,8,0.9895457551707553
9,50,gbt,9,0.9895457551707553
10,50,gbt,10,0.9842887261261805
11,50,gbt,11,1.0
12,50,gbt,12,0.9895833333333334
13,50,gbt,13,0.9685152937613567
14,50,gbt,14,0.9843473848965042
15,50,gbt,15,0.9843473848965042
16,50,gbt,16,0.9895457551707553
17,50,gbt,17,0.9842887261261805
18,50,gbt,18,0.9895457551707553
19,50,gbt,19,0.9895833333333334
20,50,gbt,20,0.9895833333333334
21,50,gbt,21,0.9842887261261805
22,50,gbt,22,0.9895457551707553
23,50,gbt,23,0.9895457551707553
24,50,gbt,24,0.9895457551707553
25,50,gbt,25,0.9475254896022612
26,50,gbt,26,0.9790101958409044
27,50,gbt,27,0.9685152937613567
28,50,gbt,28,0.9738145435436341
29,50,gbt,29,0.9895457551707553
0,54,gbt,0,0.691308388809119
1,54,gbt,1,0.7360662844149501
2,54,gbt,2,0.7380376514860105
3,54,gbt,3,0.772690092458764
4,54,gbt,4,0.7578338568218391
5,54,gbt,5,0.7034088025044893
6,54,gbt,6,0.7196543821290271
7,54,gbt,7,0.7067995195755085
8,54,gbt,8,0.7346132098978398
9,54,gbt,9,0.7554527049952604
10,54,gbt,10,0.7696220625079679
11,54,gbt,11,0.7635348115149675
12,54,gbt,12,0.7156978695617681
13,54,gbt,13,0.7926382539159599
14,54,gbt,14,0.7858682776118017
15,54,gbt,15,0.7565433726597123
16,54,gbt,16,0.7611573335931782
17,54,gbt,17,0.7532801849097182
18,54,gbt,18,0.6401212698339221
19,54,gbt,19,0.7553030512118417
20,54,gbt,20,0.7009145716260927
21,54,gbt,21,0.7023244175526001
22,54,gbt,22,0.7626058693519602
23,54,gbt,23,0.7283355722125591
